CD8_Epitopes,FS20,,,,CD8_Epitopes,FS21,,,,CD8_Epitopes,FS22,,,,CD8_Epitopes,Bang,,,,CD8_Epitopes,FSGT,,,,,CD8_Epitopes,FSSP,,,,CD8_Epitopes,VacRan,,,,CD8_Epitopes,VacSP,,,
Query,Subject,Percent Identity,Query Coverage,E-value,Query,Subject,Percent Identity,Query Coverage,E-value,Query,Subject,Percent Identity,Query Coverage,E-value,Query,Subject,Percent Identity,Query Coverage,E-value,Query,Subject,,Percent Identity,Query Coverage,E-value,Query,Subject,Percent Identity,Query Coverage,E-value,Query,Subject,Percent Identity,Query Coverage,E-value,Query,Subject,Percent Identity,Query Coverage,E-value
42002,lcl|OR863389.1_prot_WPS90607.1_76,88.89,100,2.10e-01,42002,lcl|OR393175.1_prot_WNV32776.1_76,88.89,100,2.10e-01,42002,lcl|OR393169.1_prot_WNV31882.1_76,88.89,100,2.10e-01,42002,lcl|OP688129.1_prot_UZP80092.1_77,88.89,100,2.20e-01,42075,lcl|MN072620.1_prot_QEJ78788.1_85,1,90,100,8.00e-03,43374,lcl|MW167070.1_prot_QQG62970.1_21,71.43,78,6.50e+00,42262,lcl|OK422494.1_prot_UJQ44446.1_73,77.78,100,9.80e-02,43374,lcl|MT137384.1_prot_QRU95111.1_20,71.43,78,6.50e+00
42012,lcl|OR863389.1_prot_WPS90669.1_138,71.43,78,5.60e+00,42012,lcl|OR393175.1_prot_WNV32838.1_138,71.43,78,5.60e+00,42012,lcl|OR393169.1_prot_WNV31944.1_138,71.43,78,5.60e+00,42012,lcl|OP688129.1_prot_UZP80154.1_139,71.43,78,5.70e+00,42262,lcl|MN072620.1_prot_QEJ78770.1_67,1,77.78,100,1.00e-01,43850,lcl|MW167070.1_prot_QQG62983.1_34,77.78,100,1.60e-01,42740,lcl|OK422494.1_prot_UJQ44485.1_112,77.78,100,2.10e-01,43850,lcl|MT137384.1_prot_QRU95124.1_33,77.78,100,1.60e-01
42075,lcl|OR863389.1_prot_WPS90619.1_88,90,100,8.00e-03,42075,lcl|OR393175.1_prot_WNV32788.1_88,90,100,8.00e-03,42075,lcl|OR393169.1_prot_WNV31894.1_88,90,100,8.00e-03,42075,lcl|OP688129.1_prot_UZP80104.1_89,90,100,8.00e-03,42740,lcl|MN072620.1_prot_QEJ78810.1_107,1,77.78,100,2.20e-01,43864,lcl|MW167070.1_prot_QQG63059.1_110,75,89,6.90e+00,43098,lcl|OK422494.1_prot_UJQ44406.1_33,90,100,6.00e-03,43864,lcl|MT137384.1_prot_QRU95200.1_109,75,89,6.90e+00
42262,lcl|OR863389.1_prot_WPS90601.1_70,77.78,100,1.00e-01,42262,lcl|OR393175.1_prot_WNV32770.1_70,77.78,100,1.00e-01,42262,lcl|OR393169.1_prot_WNV31876.1_70,77.78,100,1.00e-01,42262,lcl|OP688129.1_prot_UZP80086.1_71,77.78,100,1.10e-01,43098,lcl|MN072620.1_prot_QEJ78731.1_28,1,90,100,7.00e-03,44182,lcl|MW167070.1_prot_QQG63003.1_54,88.89,100,8.20e-02,43374,lcl|OK422494.1_prot_UJQ44397.1_24,71.43,78,6.30e+00,44182,lcl|MT137384.1_prot_QRU95144.1_53,88.89,100,8.20e-02
42740,lcl|OR863389.1_prot_WPS90641.1_110,77.78,100,2.20e-01,42740,lcl|OR393175.1_prot_WNV32810.1_110,77.78,100,2.20e-01,42740,lcl|OR393169.1_prot_WNV31916.1_110,77.78,100,2.20e-01,42740,lcl|OP688129.1_prot_UZP80126.1_111,77.78,100,2.20e-01,43374,lcl|MN072620.1_prot_QEJ78723.1_20,1,71.43,78,6.80e+00,44689,lcl|MW167070.1_prot_QQG63073.1_124,71.43,78,6.60e+00,43850,lcl|OK422494.1_prot_UJQ44412.1_39,77.78,100,1.50e-01,44689,lcl|MT137384.1_prot_QRU95214.1_123,71.43,78,6.60e+00
43098,lcl|OR863389.1_prot_WPS90562.1_31,90,100,7.00e-03,43098,lcl|OR393175.1_prot_WNV32731.1_31,90,100,7.00e-03,43098,lcl|OR393169.1_prot_WNV31837.1_31,90,100,7.00e-03,43098,lcl|OP688129.1_prot_UZP80047.1_32,90,100,7.00e-03,43850,lcl|MN072620.1_prot_QEJ78736.1_33,1,77.78,100,1.60e-01,44716,lcl|MW167070.1_prot_QQG63061.1_112,87.5,89,1.30e-01,43864,lcl|OK422494.1_prot_UJQ44487.1_114,75,89,6.80e+00,44716,lcl|MT137384.1_prot_QRU95202.1_111,87.5,89,1.30e-01
43374,lcl|OR863389.1_prot_WPS90554.1_23,71.43,78,6.80e+00,43374,lcl|OR393175.1_prot_WNV32723.1_23,71.43,78,6.80e+00,43374,lcl|OR393169.1_prot_WNV31829.1_23,71.43,78,6.80e+00,43374,lcl|OP688129.1_prot_UZP80039.1_24,71.43,78,6.90e+00,43864,lcl|MN072620.1_prot_QEJ78812.1_109,1,75,89,7.30e+00,45592,lcl|MW167070.1_prot_QQG63045.1_96,88.89,100,7.60e-02,44182,lcl|OK422494.1_prot_UJQ44433.1_60,77.78,100,1.30e-01,45592,lcl|MT137384.1_prot_QRU95186.1_95,88.89,100,7.60e-02
43850,lcl|OR863389.1_prot_WPS90567.1_36,77.78,100,1.60e-01,43850,lcl|OR393175.1_prot_WNV32736.1_36,77.78,100,1.60e-01,43850,lcl|OR393169.1_prot_WNV31842.1_36,77.78,100,1.60e-01,43850,lcl|OP688129.1_prot_UZP80052.1_37,77.78,100,1.60e-01,44182,lcl|MN072620.1_prot_QEJ78756.1_53,1,77.78,100,1.50e-01,45635,lcl|MW167070.1_prot_QQG63017.1_68,77.78,100,3.10e-02,44689,lcl|OK422494.1_prot_UJQ44501.1_128,71.43,78,5.70e+00,45635,lcl|MT137384.1_prot_QRU95158.1_67,77.78,100,3.10e-02
43864,lcl|OR863389.1_prot_WPS90643.1_112,75,89,7.30e+00,43864,lcl|OR393175.1_prot_WNV32812.1_112,75,89,7.30e+00,43864,lcl|OR393169.1_prot_WNV31918.1_112,75,89,7.30e+00,43864,lcl|OP688129.1_prot_UZP80128.1_113,75,89,7.40e+00,44689,lcl|MN072620.1_prot_QEJ78826.1_123,1,71.43,78,6.20e+00,46325,lcl|MW167070.1_prot_QQG63047.1_98,75,100,8.20e-01,44716,lcl|OK422494.1_prot_UJQ44489.1_116,87.5,89,1.20e-01,46325,lcl|MT137384.1_prot_QRU95188.1_97,75,100,8.20e-01
44182,lcl|OR863389.1_prot_WPS90587.1_56,77.78,100,1.40e-01,44182,lcl|OR393175.1_prot_WNV32756.1_56,77.78,100,1.30e-01,44182,lcl|OR393169.1_prot_WNV31862.1_56,77.78,100,1.40e-01,44182,lcl|OP688129.1_prot_UZP80072.1_57,77.78,100,1.40e-01,45592,lcl|MN072620.1_prot_QEJ78798.1_95,1,88.89,100,1.00e-01,46327,lcl|MW167070.1_prot_QQG63047.1_98,80,100,4.00e-02,45592,lcl|OK422494.1_prot_UJQ44474.1_101,88.89,100,7.70e-02,46327,lcl|MT137384.1_prot_QRU95188.1_97,80,100,4.00e-02
44689,lcl|OR863389.1_prot_WPS90656.1_125,71.43,78,6.10e+00,44689,lcl|OR393175.1_prot_WNV32825.1_125,71.43,78,6.10e+00,44689,lcl|OR393169.1_prot_WNV31931.1_125,71.43,78,6.10e+00,44689,lcl|OP688129.1_prot_UZP80141.1_126,71.43,78,6.20e+00,45635,lcl|MN072620.1_prot_QEJ78770.1_67,1,77.78,100,3.00e-02,52308,lcl|MW167070.1_prot_QQG63074.1_125,71.43,78,7.50e+00,45635,lcl|OK422494.1_prot_UJQ44446.1_73,77.78,100,2.80e-02,52308,lcl|MT137384.1_prot_QRU95215.1_124,71.43,78,7.50e+00
44716,lcl|OR863389.1_prot_WPS90645.1_114,87.5,89,1.30e-01,44716,lcl|OR393175.1_prot_WNV32814.1_114,87.5,89,1.30e-01,44716,lcl|OR393169.1_prot_WNV31920.1_114,87.5,89,1.30e-01,44716,lcl|OP688129.1_prot_UZP80130.1_115,87.5,89,1.40e-01,46325,lcl|MN072620.1_prot_QEJ78800.1_97,1,75,100,8.00e-01,52964,lcl|MW167070.1_prot_QQG63036.1_87,88.89,100,2.80e-02,46325,lcl|OK422494.1_prot_UJQ44476.1_103,75,100,7.90e-01,52964,lcl|MT137384.1_prot_QRU95177.1_86,88.89,100,2.80e-02
45592,lcl|OR863389.1_prot_WPS90629.1_98,88.89,100,8.20e-02,45592,lcl|OR393175.1_prot_WNV32798.1_98,88.89,100,8.20e-02,45592,lcl|OR393169.1_prot_WNV31904.1_98,88.89,100,8.20e-02,45592,lcl|OP688129.1_prot_UZP80114.1_99,88.89,100,8.30e-02,46327,lcl|MN072620.1_prot_QEJ78800.1_97,1,80,100,4.00e-02,54136,lcl|MW167070.1_prot_QQG62972.1_23,70,100,9.60e-02,46327,lcl|OK422494.1_prot_UJQ44476.1_103,80,100,3.90e-02,54136,lcl|MT137384.1_prot_QRU95113.1_22,70,100,9.60e-02
45635,lcl|OR863389.1_prot_WPS90601.1_70,77.78,100,3.00e-02,45635,lcl|OR393175.1_prot_WNV32770.1_70,77.78,100,3.00e-02,45635,lcl|OR393169.1_prot_WNV31876.1_70,77.78,100,3.00e-02,45635,lcl|OP688129.1_prot_UZP80086.1_71,77.78,100,3.10e-02,52308,lcl|MN072620.1_prot_QEJ78827.1_124,1,71.43,78,7.00e+00,54292,lcl|MW167070.1_prot_QQG62984.1_35,100,75,1.30e+00,52308,lcl|OK422494.1_prot_UJQ44502.1_129,71.43,78,6.30e+00,54292,lcl|MT137384.1_prot_QRU95125.1_34,100,75,1.30e+00
46325,lcl|OR863389.1_prot_WPS90631.1_100,75,100,8.40e-01,46325,lcl|OR393175.1_prot_WNV32800.1_100,75,100,8.40e-01,46325,lcl|OR393169.1_prot_WNV31906.1_100,75,100,8.40e-01,46325,lcl|OP688129.1_prot_UZP80116.1_101,75,100,8.60e-01,52964,lcl|MN072620.1_prot_QEJ78789.1_86,1,88.89,100,2.90e-02,54637,lcl|MW167070.1_prot_QQG63047.1_98,71.43,70,5.90e-01,52964,lcl|OK422494.1_prot_UJQ44465.1_92,88.89,100,2.80e-02,54637,lcl|MT137384.1_prot_QRU95188.1_97,71.43,70,5.90e-01
46327,lcl|OR863389.1_prot_WPS90631.1_100,80,100,4.20e-02,46327,lcl|OR393175.1_prot_WNV32800.1_100,80,100,4.20e-02,46327,lcl|OR393169.1_prot_WNV31906.1_100,80,100,4.20e-02,46327,lcl|OP688129.1_prot_UZP80116.1_101,80,100,4.20e-02,54136,lcl|MN072620.1_prot_QEJ78725.1_22,1,70,100,8.70e-02,54832,lcl|MW167070.1_prot_QQG62989.1_40,77.78,100,2.80e-02,54136,lcl|OK422494.1_prot_UJQ44400.1_27,70,100,9.00e-02,54832,lcl|MT137384.1_prot_QRU95130.1_39,77.78,100,2.80e-02
52308,lcl|OR863389.1_prot_WPS90657.1_126,71.43,78,6.70e+00,52308,lcl|OR393175.1_prot_WNV32826.1_126,71.43,78,6.70e+00,52308,lcl|OR393169.1_prot_WNV31932.1_126,71.43,78,6.70e+00,52308,lcl|OP688129.1_prot_UZP80142.1_127,71.43,78,6.80e+00,54292,lcl|MN072620.1_prot_QEJ78737.1_34,1,100,75,1.30e+00,55273,lcl|MW167070.1_prot_QQG63062.1_113,77.78,100,9.10e-02,54292,lcl|OK422494.1_prot_UJQ44413.1_40,100,75,1.00e+00,55273,lcl|MT137384.1_prot_QRU95203.1_112,77.78,100,9.10e-02
52964,lcl|OR863389.1_prot_WPS90620.1_89,88.89,100,3.00e-02,52964,lcl|OR393175.1_prot_WNV32789.1_89,88.89,100,3.00e-02,52964,lcl|OR393169.1_prot_WNV31895.1_89,88.89,100,3.00e-02,52964,lcl|OP688129.1_prot_UZP80105.1_90,88.89,100,3.10e-02,54637,lcl|MN072620.1_prot_QEJ78800.1_97,1,71.43,70,5.80e-01,55347,lcl|MW167070.1_prot_QQG63025.1_76,80,100,3.60e-02,54637,lcl|OK422494.1_prot_UJQ44476.1_103,71.43,70,5.50e-01,55347,lcl|MT137384.1_prot_QRU95166.1_75,80,100,3.60e-02
54136,lcl|OR863389.1_prot_WPS90557.1_26,70,100,9.60e-02,54136,lcl|OR393175.1_prot_WNV32726.1_26,70,100,9.60e-02,54136,lcl|OR393169.1_prot_WNV31832.1_26,70,100,9.60e-02,54136,lcl|OP688129.1_prot_UZP80042.1_27,70,100,9.70e-02,54832,lcl|MN072620.1_prot_QEJ78742.1_39,1,77.78,100,2.70e-02,55977,lcl|MW167070.1_prot_QQG63092.1_143,75,89,2.20e+00,54832,lcl|OK422494.1_prot_UJQ44418.1_45,77.78,100,2.70e-02,55977,lcl|MT137384.1_prot_QRU95233.1_142,75,89,2.20e+00
54292,lcl|OR863389.1_prot_WPS90568.1_37,100,75,1.10e+00,54292,lcl|OR393175.1_prot_WNV32737.1_37,100,75,1.10e+00,54292,lcl|OR393169.1_prot_WNV31843.1_37,100,75,1.10e+00,54292,lcl|OP688129.1_prot_UZP80053.1_38,100,75,1.10e+00,55273,lcl|MN072620.1_prot_QEJ78815.1_112,1,77.78,100,9.00e-02,56108,lcl|MW167070.1_prot_QQG63055.1_106,80,100,1.40e-01,55273,lcl|OK422494.1_prot_UJQ44490.1_117,77.78,100,8.50e-02,56108,lcl|MT137384.1_prot_QRU95196.1_105,80,100,1.40e-01
54637,lcl|OR863389.1_prot_WPS90631.1_100,71.43,70,5.90e-01,54637,lcl|OR393175.1_prot_WNV32800.1_100,71.43,70,5.90e-01,54637,lcl|OR393169.1_prot_WNV31906.1_100,71.43,70,5.90e-01,54637,lcl|OP688129.1_prot_UZP80116.1_101,71.43,70,6.00e-01,55347,lcl|MN072620.1_prot_QEJ78778.1_75,1,80,100,3.70e-02,56456,lcl|MW167070.1_prot_QQG63035.1_86,87.5,89,2.10e-01,55347,lcl|OK422494.1_prot_UJQ44454.1_81,80,100,3.20e-02,56456,lcl|MT137384.1_prot_QRU95176.1_85,87.5,89,2.10e-01
54832,lcl|OR863389.1_prot_WPS90573.1_42,77.78,100,2.80e-02,54832,lcl|OR393175.1_prot_WNV32742.1_42,77.78,100,2.80e-02,54832,lcl|OR393169.1_prot_WNV31848.1_42,77.78,100,2.80e-02,54832,lcl|OP688129.1_prot_UZP80058.1_43,77.78,100,2.90e-02,55977,lcl|MN072620.1_prot_QEJ78846.1_143,1,75,89,2.30e+00,56606,lcl|MW167070.1_prot_QQG63017.1_68,77.78,100,1.50e-01,56108,lcl|OK422494.1_prot_UJQ44483.1_110,80,100,6.40e-02,56606,lcl|MT137384.1_prot_QRU95158.1_67,77.78,100,1.50e-01
55273,lcl|OR863389.1_prot_WPS90646.1_115,77.78,100,9.10e-02,55273,lcl|OR393175.1_prot_WNV32815.1_115,77.78,100,9.10e-02,55273,lcl|OR393169.1_prot_WNV31921.1_115,77.78,100,9.10e-02,55273,lcl|OP688129.1_prot_UZP80131.1_116,77.78,100,9.30e-02,56108,lcl|MN072620.1_prot_QEJ78808.1_105,1,80,100,1.30e-01,57038,lcl|MW167070.1_prot_QQG63022.1_73,90,100,4.60e-01,56456,lcl|OK422494.1_prot_UJQ44464.1_91,87.5,89,2.00e-01,57038,lcl|MT137384.1_prot_QRU95163.1_72,90,100,5.10e-01
55347,lcl|OR863389.1_prot_WPS90609.1_78,80,100,3.40e-02,55347,lcl|OR393175.1_prot_WNV32778.1_78,80,100,3.40e-02,55347,lcl|OR393169.1_prot_WNV31884.1_78,80,100,3.40e-02,55347,lcl|OP688129.1_prot_UZP80094.1_79,80,100,3.50e-02,56456,lcl|MN072620.1_prot_QEJ78788.1_85,1,87.5,89,2.00e-01,57669,lcl|MW167070.1_prot_QQG63018.1_69,77.78,100,4.30e-01,56606,lcl|OK422494.1_prot_UJQ44446.1_73,77.78,100,1.30e-01,57669,lcl|MT137384.1_prot_QRU95159.1_68,77.78,100,4.30e-01
55977,lcl|OR863389.1_prot_WPS90676.1_145,75,89,2.10e+00,55977,lcl|OR393175.1_prot_WNV32845.1_145,75,89,2.10e+00,55977,lcl|OR393169.1_prot_WNV31951.1_145,75,89,2.10e+00,55977,lcl|OP688129.1_prot_UZP80162.1_147,75,89,2.10e+00,56606,lcl|MN072620.1_prot_QEJ78770.1_67,1,77.78,100,1.40e-01,57827,lcl|MW167070.1_prot_QQG62984.1_35,100,100,1.60e-02,57038,lcl|OK422494.1_prot_UJQ44451.1_78,90,100,4.70e-02,57827,lcl|MT137384.1_prot_QRU95125.1_34,100,100,1.60e-02
56108,lcl|OR863389.1_prot_WPS90639.1_108,80,100,6.80e-02,56108,lcl|OR393175.1_prot_WNV32808.1_108,80,100,6.80e-02,56108,lcl|OR393169.1_prot_WNV31914.1_108,80,100,6.80e-02,56108,lcl|OP688129.1_prot_UZP80124.1_109,80,100,6.90e-02,57038,lcl|MN072620.1_prot_QEJ78775.1_72,1,90,100,5.00e-02,58507,lcl|MW167070.1_prot_QQG63014.1_65,75,100,1.00e+00,57827,lcl|OK422494.1_prot_UJQ44413.1_40,100,100,1.60e-02,58507,lcl|MT137384.1_prot_QRU95155.1_64,75,100,1.00e+00
56456,lcl|OR863389.1_prot_WPS90619.1_88,87.5,89,2.10e-01,56456,lcl|OR393175.1_prot_WNV32788.1_88,87.5,89,2.10e-01,56456,lcl|OR393169.1_prot_WNV31894.1_88,87.5,89,2.10e-01,56456,lcl|OP688129.1_prot_UZP80104.1_89,87.5,89,2.20e-01,57827,lcl|MN072620.1_prot_QEJ78737.1_34,1,100,100,1.60e-02,59029,lcl|MW167070.1_prot_QQG63089.1_140,71.43,70,6.10e+00,58507,lcl|OK422494.1_prot_UJQ44444.1_71,75,100,9.60e-01,59029,lcl|MT137384.1_prot_QRU95230.1_139,71.43,70,6.30e+00
56606,lcl|OR863389.1_prot_WPS90601.1_70,77.78,100,1.40e-01,56606,lcl|OR393175.1_prot_WNV32770.1_70,77.78,100,1.40e-01,56606,lcl|OR393169.1_prot_WNV31876.1_70,77.78,100,1.40e-01,56606,lcl|OP688129.1_prot_UZP80086.1_71,77.78,100,1.40e-01,58507,lcl|MN072620.1_prot_QEJ78767.1_64,1,75,100,1.00e+00,59093,lcl|MW167070.1_prot_QQG63035.1_86,77.78,100,4.90e-01,59093,lcl|OK422494.1_prot_UJQ44464.1_91,77.78,100,4.50e-01,59093,lcl|MT137384.1_prot_QRU95176.1_85,77.78,100,4.90e-01
57038,lcl|OR863389.1_prot_WPS90606.1_75,90,100,5.00e-02,57038,lcl|OR393175.1_prot_WNV32775.1_75,90,100,5.00e-02,57038,lcl|OR393169.1_prot_WNV31881.1_75,90,100,5.00e-02,57038,lcl|OP688129.1_prot_UZP80091.1_76,90,100,5.10e-02,59093,lcl|MN072620.1_prot_QEJ78788.1_85,1,77.78,100,4.80e-01,59096,lcl|MW167070.1_prot_QQG63058.1_109,85.71,78,6.50e-01,59780,lcl|OK422494.1_prot_UJQ44454.1_81,88.89,100,1.00e-02,59096,lcl|MT137384.1_prot_QRU95199.1_108,85.71,78,6.50e-01
57827,lcl|OR863389.1_prot_WPS90568.1_37,100,100,1.70e-02,57827,lcl|OR393175.1_prot_WNV32737.1_37,100,100,1.70e-02,57827,lcl|OR393169.1_prot_WNV31843.1_37,100,100,1.70e-02,57827,lcl|OP688129.1_prot_UZP80053.1_38,100,100,1.70e-02,59096,lcl|MN072620.1_prot_QEJ78811.1_108,1,85.71,78,6.50e-01,59780,lcl|MW167070.1_prot_QQG63025.1_76,88.89,100,1.10e-02,60086,lcl|OK422494.1_prot_UJQ44424.1_51,80,100,2.40e-02,59780,lcl|MT137384.1_prot_QRU95166.1_75,88.89,100,1.10e-02
58507,lcl|OR863389.1_prot_WPS90598.1_67,75,100,1.00e+00,58507,lcl|OR393175.1_prot_WNV32767.1_67,75,100,1.00e+00,58507,lcl|OR393169.1_prot_WNV31873.1_67,75,100,1.00e+00,58507,lcl|OP688129.1_prot_UZP80083.1_68,75,100,1.00e+00,59780,lcl|MN072620.1_prot_QEJ78778.1_75,1,88.89,100,1.10e-02,60086,lcl|MW167070.1_prot_QQG62995.1_46,80,100,2.60e-02,60161,lcl|OK422494.1_prot_UJQ44518.1_145,71.43,78,9.30e+00,60086,lcl|MT137384.1_prot_QRU95136.1_45,80,100,2.60e-02
59093,lcl|OR863389.1_prot_WPS90619.1_88,77.78,100,4.80e-01,59093,lcl|OR393175.1_prot_WNV32788.1_88,77.78,100,4.80e-01,59093,lcl|OR393169.1_prot_WNV31894.1_88,77.78,100,4.80e-01,59093,lcl|OP688129.1_prot_UZP80104.1_89,77.78,100,4.90e-01,60086,lcl|MN072620.1_prot_QEJ78748.1_45,1,80,100,2.60e-02,60265,lcl|MW167070.1_prot_QQG63074.1_125,85.71,89,2.60e+00,60265,lcl|OK422494.1_prot_UJQ44502.1_129,85.71,89,2.20e+00,60265,lcl|MT137384.1_prot_QRU95215.1_124,85.71,89,2.60e+00
59096,lcl|OR863389.1_prot_WPS90642.1_111,85.71,78,6.60e-01,59096,lcl|OR393175.1_prot_WNV32811.1_111,85.71,78,6.60e-01,59096,lcl|OR393169.1_prot_WNV31917.1_111,85.71,78,6.60e-01,59096,lcl|OP688129.1_prot_UZP80127.1_112,85.71,78,6.70e-01,60265,lcl|MN072620.1_prot_QEJ78827.1_124,1,85.71,89,2.60e+00,60337,lcl|MW167070.1_prot_QQG62964.1_15,71.43,78,9.00e-01,60337,lcl|OK422494.1_prot_UJQ44390.1_17,71.43,78,1.00e+00,60337,lcl|MT137384.1_prot_QRU95105.1_14,71.43,78,9.00e-01
59780,lcl|OR863389.1_prot_WPS90609.1_78,88.89,100,1.00e-02,59780,lcl|OR393175.1_prot_WNV32778.1_78,88.89,100,1.00e-02,59780,lcl|OR393169.1_prot_WNV31884.1_78,88.89,100,1.00e-02,59780,lcl|OP688129.1_prot_UZP80094.1_79,88.89,100,1.00e-02,60337,lcl|MN072620.1_prot_QEJ78717.1_14,1,71.43,78,8.90e-01,60444,lcl|MW167070.1_prot_QQG63030.1_81,77.78,100,6.00e-02,60444,lcl|OK422494.1_prot_UJQ44459.1_86,77.78,100,5.60e-02,60444,lcl|MT137384.1_prot_QRU95171.1_80,77.78,100,6.00e-02
60086,lcl|OR863389.1_prot_WPS90579.1_48,80,100,2.60e-02,60086,lcl|OR393175.1_prot_WNV32748.1_48,80,100,2.60e-02,60086,lcl|OR393169.1_prot_WNV31854.1_48,80,100,2.60e-02,60086,lcl|OP688129.1_prot_UZP80064.1_49,80,100,2.70e-02,60444,lcl|MN072620.1_prot_QEJ78783.1_80,1,77.78,100,5.90e-02,60546,lcl|MW167070.1_prot_QQG63074.1_125,71.43,78,4.70e+00,60546,lcl|OK422494.1_prot_UJQ44502.1_129,71.43,78,3.90e+00,60546,lcl|MT137384.1_prot_QRU95215.1_124,71.43,78,4.70e+00
60265,lcl|OR863389.1_prot_WPS90657.1_126,85.71,89,2.30e+00,60265,lcl|OR393175.1_prot_WNV32826.1_126,85.71,89,2.30e+00,60265,lcl|OR393169.1_prot_WNV31932.1_126,85.71,89,2.30e+00,60265,lcl|OP688129.1_prot_UZP80142.1_127,85.71,89,2.40e+00,60546,lcl|MN072620.1_prot_QEJ78827.1_124,1,71.43,78,4.40e+00,60612,lcl|MW167070.1_prot_QQG63017.1_68,100,100,4.10e-02,60612,lcl|OK422494.1_prot_UJQ44446.1_73,100,100,3.80e-02,60612,lcl|MT137384.1_prot_QRU95158.1_67,100,100,4.10e-02
60337,lcl|OR863389.1_prot_WPS90549.1_18,71.43,78,1.10e+00,60337,lcl|OR393175.1_prot_WNV32718.1_18,71.43,78,1.10e+00,60337,lcl|OR393169.1_prot_WNV31824.1_18,71.43,78,1.10e+00,60337,lcl|OP688129.1_prot_UZP80033.1_18,71.43,78,1.10e+00,60612,lcl|MN072620.1_prot_QEJ78770.1_67,1,100,100,4.30e-02,61013,lcl|MW167070.1_prot_QQG63065.1_116,75,80,9.70e-01,61013,lcl|OK422494.1_prot_UJQ44493.1_120,75,80,9.20e-01,61013,lcl|MT137384.1_prot_QRU95206.1_115,75,80,9.70e-01
60444,lcl|OR863389.1_prot_WPS90614.1_83,77.78,100,6.00e-02,60444,lcl|OR393175.1_prot_WNV32783.1_83,77.78,100,6.00e-02,60444,lcl|OR393169.1_prot_WNV31889.1_83,77.78,100,6.00e-02,60444,lcl|OP688129.1_prot_UZP80099.1_84,77.78,100,6.10e-02,61013,lcl|MN072620.1_prot_QEJ78818.1_115,1,75,80,9.70e-01,61234,lcl|MW167070.1_prot_QQG63030.1_81,88.89,100,8.30e-02,61234,lcl|OK422494.1_prot_UJQ44459.1_86,100,100,4.00e-02,61234,lcl|MT137384.1_prot_QRU95171.1_80,88.89,100,8.30e-02
60546,lcl|OR863389.1_prot_WPS90657.1_126,71.43,78,4.20e+00,60546,lcl|OR393175.1_prot_WNV32826.1_126,71.43,78,4.20e+00,60546,lcl|OR393169.1_prot_WNV31932.1_126,71.43,78,4.20e+00,60546,lcl|OP688129.1_prot_UZP80142.1_127,71.43,78,4.20e+00,61234,lcl|MN072620.1_prot_QEJ78783.1_80,1,88.89,100,8.40e-02,62233,lcl|MW167070.1_prot_QQG63062.1_113,88.89,100,2.50e-01,62233,lcl|OK422494.1_prot_UJQ44490.1_117,88.89,100,2.30e-01,62233,lcl|MT137384.1_prot_QRU95203.1_112,88.89,100,2.50e-01
60612,lcl|OR863389.1_prot_WPS90601.1_70,100,100,4.00e-02,60612,lcl|OR393175.1_prot_WNV32770.1_70,100,100,4.00e-02,60612,lcl|OR393169.1_prot_WNV31876.1_70,100,100,4.00e-02,60612,lcl|OP688129.1_prot_UZP80086.1_71,100,100,4.10e-02,61674,lcl|MN072620.1_prot_QEJ78830.1_127,1,75,89,6.10e+00,62412,lcl|MW167070.1_prot_QQG63012.1_63,71.43,88,3.90e+00,62412,lcl|OK422494.1_prot_UJQ44442.1_69,71.43,88,3.10e+00,62412,lcl|MT137384.1_prot_QRU95153.1_62,71.43,88,3.90e+00
61013,lcl|OR863389.1_prot_WPS90649.1_118,75,80,9.80e-01,61013,lcl|OR393175.1_prot_WNV32818.1_118,75,80,9.80e-01,61013,lcl|OR393169.1_prot_WNV31924.1_118,75,80,9.80e-01,61013,lcl|OP688129.1_prot_UZP80134.1_119,75,80,1.00e+00,62233,lcl|MN072620.1_prot_QEJ78815.1_112,1,88.89,100,2.50e-01,62439,lcl|MW167070.1_prot_QQG62978.1_29,71.43,78,8.90e-01,62439,lcl|OK422494.1_prot_UJQ44406.1_33,71.43,78,8.50e-01,62439,lcl|MT137384.1_prot_QRU95119.1_28,71.43,78,8.90e-01
61234,lcl|OR863389.1_prot_WPS90614.1_83,100,100,4.20e-02,61234,lcl|OR393175.1_prot_WNV32783.1_83,100,100,4.20e-02,61234,lcl|OR393169.1_prot_WNV31889.1_83,100,100,4.20e-02,61234,lcl|OP688129.1_prot_UZP80099.1_84,100,100,4.30e-02,62412,lcl|MN072620.1_prot_QEJ78765.1_62,1,71.43,88,3.50e+00,62540,lcl|MW167070.1_prot_QQG63062.1_113,77.78,100,2.30e-01,62540,lcl|OK422494.1_prot_UJQ44490.1_117,77.78,100,2.10e-01,62540,lcl|MT137384.1_prot_QRU95203.1_112,77.78,100,2.30e-01
